Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,100200107,12835.782657305135,3986053,531139,2158761,276.54049316600725,98817,16465,
United States of America,Americas,25198841,76128.82,1161605,148533,421570,1273.62,23135,3681,Community transmission
India,South-East Asia,10701193,7754.46,90310,11666,153847,111.48,978,123,Clusters of cases
Brazil,Americas,8933356,42027.57,359492,61963,218878,1029.73,7387,1214,Community transmission
Russian Federation,Europe,3774672,25865.53,140720,17741,71076,487.04,3856,594,Clusters of cases
The United Kingdom,Europe,3689750,54352.14,222897,20088,100162,1475.44,8692,1631,Community transmission
France,Europe,3029792,46416.87,139780,22086,73713,1129.29,2762,612,Community transmission
Spain,Europe,2629817,56247.02,197888,15660,56799,1214.83,1630,79,Community transmission
Italy,Europe,2485956,41116.13,85358,10584,86422,1429.36,3265,541,Clusters of cases
Turkey,Europe,2442350,28958.7,42569,7103,25344,300.5,1016,134,Community transmission
Germany,Europe,2161279,25795.86,93277,13202,53972,644.18,5202,982,Community transmission
Colombia,Americas,2041352,40118.63,102281,13606,52128,1024.47,2726,381,Community transmission
Argentina,Americas,1885210,41712.09,65641,10409,47253,1045.52,1187,219,Community transmission
Mexico,Americas,1788905,13874.71,120509,17165,152016,1179.03,9184,1743,Community transmission
Poland,Europe,1489512,39356.55,38765,6790,36054,952.63,1913,389,Community transmission
South Africa,Africa,1423578,24002.86,66862,6041,41797,704.74,3509,680,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1392314,16576.56,43998,6608,57651,686.38,594,91,Community transmission
Ukraine,Europe,1200883,27458.95,28845,3776,22202,507.66,944,145,Community transmission
Peru,Americas,1107239,33581.34,34025,4444,40107,1216.4,1063,220,Community transmission
Indonesia,South-East Asia,1024298,3744.82,84350,11948,28855,105.49,1998,387,Community transmission
Netherlands,Europe,956867,55843.25,35635,3997,13664,797.44,512,87,Community transmission
Czechia,Europe,956155,89285.34,47024,9209,15791,1474.56,971,173,Community transmission
Canada,Americas,757022,20057.73,37271,4011,19403,514.09,1137,165,Community transmission
Romania,Europe,715438,37189.39,17540,2877,17938,932.44,569,97,Community transmission
Chile,Americas,709888,37135.41,29148,3388,18040,943.7,446,17,Community transmission
Belgium,Europe,696642,60109.12,10898,0,20879,1801.53,283,0,Community transmission
Portugal,Europe,653878,64126.38,86920,10765,11012,1079.96,1766,291,Clusters of cases
Iraq,Eastern Mediterranean,616259,15321.25,5661,879,13018,323.65,50,8,Community transmission
Israel,Europe,608104,70256.08,47490,8714,4487,518.4,368,55,Community transmission
Sweden,Europe,556289,55082.13,23035,1881,11247,1113.65,89,6,Community transmission
Pakistan,Eastern Mediterranean,537477,2433.21,12694,1563,11450,51.84,347,74,Community transmission
Bangladesh,South-East Asia,533444,3239.09,3757,528,8072,49.01,122,17,Community transmission
Philippines,Western Pacific,518407,4730.81,12468,2241,10481,95.65,439,95,Community transmission
Switzerland,Europe,512958,59269.83,13237,1881,8441,975.32,319,57,Community transmission
Morocco,Eastern Mediterranean,468383,12689.67,5841,890,8207,222.35,164,20,Clusters of cases
Austria,Europe,403923,44848.45,10479,1445,7462,828.52,335,46,Community transmission
Serbia,Europe,387206,55602.98,11407,2080,3924,563.49,133,19,Community transmission
Japan,Western Pacific,375607,2969.78,30386,3927,5361,42.39,618,109,Clusters of cases
Saudi Arabia,Eastern Mediterranean,367023,10542.44,1460,216,6363,182.77,25,4,Sporadic cases
Hungary,Europe,361881,37460.44,7629,1004,12198,1262.69,583,85,Community transmission
Jordan,Eastern Mediterranean,323111,31667.82,5706,870,4262,417.71,75,14,Community transmission
Panama,Americas,313834,72734.87,12300,1676,5137,1190.56,273,39,Community transmission
Lebanon,Eastern Mediterranean,289660,42438.26,25013,3906,2553,374.04,469,76,Community transmission
United Arab Emirates,Eastern Mediterranean,289086,29228.94,25357,3939,811,82,49,6,Community transmission
Nepal,South-East Asia,270375,9279.5,2065,283,2020,69.33,45,3,Clusters of cases
Georgia,Europe,255564,64064.5,5630,742,3108,779.11,121,12,Community transmission
Ecuador,Americas,242146,13724.72,7831,0,14668,831.38,231,0,Community transmission
Slovakia,Europe,241392,44213.89,12614,2775,4361,798.77,624,101,Clusters of cases
Belarus,Europe,239482,25343.83,10766,847,1668,176.52,67,10,Community transmission
Croatia,Europe,230359,56113.04,3809,857,4913,1196.76,202,31,Community transmission
